"EST_ID","EST_WB","EST_WBT","EST_OWNR","EST_NAME","EST_TYPE","EST_STATUS","EST_BT","EST_BP","EST_EN","EST_BOD","EST_ST","EST_BRGY","EST_MUNCITY","EST_PROVINCE","EST_REGION","EST_LAT","EST_LONG","EST_E","EST_SPTK","EST_SPTK_TYPE","EST_WWTF","EST_SC","EST_R","DATE_ENCODED","ENCODER"
"221954","PAMPANGA RIVER","RIVER","PANGANIBAN OP., SR. IRENE","BAHAY NI SAN JOSE INC","COMMERCIAL","OPERATIONAL","FOUNDATION","YES","","","","PAPAYA","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221955","PAMPANGA RIVER","RIVER","ZAPATA, RICARDO","RICARDO C. ZAPATA TRUCKING SERVICES","COMMERCIAL","OPERATIONAL","TRANSLOADING/HAULING","YES","","","","POBLACION","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221956","PAMPANGA RIVER","RIVER","ORTIZ, RHODORA","JPAD INTERNET CAFÉ","COMMERCIAL","OPERATIONAL","COMPUTER RENTALS AND SERVICES","YES","","","","MAUGAT","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221957","PAMPANGA RIVER","RIVER","CAYMAN, MA. CLARINDA","INDZ RICE STORE","COMMERCIAL","OPERATIONAL","RICE STORE","YES","","","","TIKIW","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221958","PAMPANGA RIVER","RIVER","GALANO, GEREMY","JEREMY'S VENDING MACHINE","COMMERCIAL","OPERATIONAL","SMALL SCALE FOOD STORE","YES","","","","PUBLIC MARKET","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","","","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221959","PAMPANGA RIVER","RIVER","TRINITY STO. CRISTO EDUCATION CENTER","TRINITY STO. CRISTO EDUCATION CENTER","COMMERCIAL","OPERATIONAL","SCHOOL TRAINING","YES","","","","STO. CRISTO","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221960","PAMPANGA RIVER","RIVER","SOTTO, SHIELA","SHIELA SOTTO PALAY TRADING","COMMERCIAL","OPERATIONAL","PALAY TRADING","YES","","","","PAPAYA","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221961","PAMPANGA RIVER","RIVER","FRANCISCO, CIPRIANO","RONNIE'S BUY AND SELL USED CAR","COMMERCIAL","OPERATIONAL","VEHICLE AND VEHICLE PARTS","YES","","","","SAN FRANCISCO","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221962","PAMPANGA RIVER","RIVER","ESQUIVEL, ANGELITA SALONGA","SALONGA MEDICAL CLINIC AND PHARMACY","COMMERCIAL","OPERATIONAL","MEDICAL SERVICES AND PHARMACY","YES","","","","POBLACION","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221963","PAMPANGA RIVER","RIVER","ESQUIVEL, ANGELITA SALONGA","ACS APARTMENT","COMMERCIAL","OPERATIONAL","HOTEL/LODGING/APARTMENTS","YES","","","","POBLACION","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221964","PAMPANGA RIVER","RIVER","SALONGA, MERCEDITA","SALONGA MEMORIAL PARK CORPORATION","COMMERCIAL","OPERATIONAL","PRIVATE CEMETERY","YES","","","","POBLACION","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221965","PAMPANGA RIVER","RIVER","MIRANDA, LARRY","L.B. MIRANDA GENERAL MERCHANDISE","COMMERCIAL","OPERATIONAL","GENERAL MERCHANDISE","YES","","","","SAN MARIANO","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221966","PAMPANGA RIVER","RIVER","BALOLOY, ROCHELLE","VB AGRI AND POULTRY SUPPLY","COMMERCIAL","OPERATIONAL","AGRICULTURE AND FARM SUPPLY","YES","","","","LUYOS","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221967","PAMPANGA RIVER","RIVER","GALICIA, SEGUNDO","DONG & VILMA PALAY TRADING","COMMERCIAL","OPERATIONAL","PALAY TRADING","YES","","","","SAN MARIANO","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221968","PAMPANGA RIVER","RIVER","FAUSTINO, EVELYN","SANE H2O PURIFYING STATION","COMMERCIAL","OPERATIONAL","WATER REFILLING STATION","YES","","","","TIKIW","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221969","PAMPANGA RIVER","RIVER","FAUSTINO, EVELYN","EIGHT STAR FUEL ZONE","COMMERCIAL","OPERATIONAL","CHEMICAL/PETROLEUM/INDUSTRISL GAS","YES","","","","TIKIW","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221970","PAMPANGA RIVER","RIVER","FAUSTINO, CARLO","RERET TRADING","COMMERCIAL","OPERATIONAL","CONSTRUCTION SUPPLY","YES","","","","TIKIW","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221971","PAMPANGA RIVER","RIVER","DILAO, MAGDALENA","LENIE STORE","COMMERCIAL","OPERATIONAL","GENERAL MERCHANDISE","YES","","","","SAN FRANCISCO","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221972","PAMPANGA RIVER","RIVER","GARCIA, RYAN","R.M. PALAY TRADING","COMMERCIAL","OPERATIONAL","PALAY TRADING","YES","","","","PAPAYA","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221973","PAMPANGA RIVER","RIVER","VISTE, JUSTINA","JUSTINA SARI-SARI STORE","COMMERCIAL","OPERATIONAL","GENERAL MERCHANDISE","YES","","","","SAN FRANCISCO","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221974","PAMPANGA RIVER","RIVER","CALISON, ESTRELITA","INE STORE","COMMERCIAL","OPERATIONAL","GENERAL MERCHANDISE","YES","","","","CAMAJUAN","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221975","PAMPANGA RIVER","RIVER","SICAT, PEDRO","PEDY AND CHATO RICE AND PALAY TRADING","COMMERCIAL","OPERATIONAL","RICE AND PALAY TRADING","YES","","","","PAPAYA","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221976","PAMPANGA RIVER","RIVER","ORTIZ, RHODORA","BUTCHOY'S PRINTING SHOP","COMMERCIAL","OPERATIONAL","PRINTING SERVICES","YES","","",""," PUBIC MARKET","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221977","PAMPANGA RIVER","RIVER","AGAPITO, ADELAIDO","A.P. AGAPITO RICE MILL","COMMERCIAL","OPERATIONAL","RICE MILL","YES","","","","TIKIW","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221978","PAMPANGA RIVER","RIVER","AGAPITO, JULIETA","CREAM TOPS NATIVE CAKES - POBLACION BRANCH","COMMERCIAL","OPERATIONAL","FOOD AND BEVERAGES STORE","YES","","","","PUBLIC MARKET","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","","","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221979","PAMPANGA RIVER","RIVER"," TAÑEDO, MAR JHON","MAR JHON MOTORCYCLE AND BICYCLE PARTS","COMMERCIAL","OPERATIONAL","VEHICLE AND VEHICLE PARTS","YES","","","","SAN FRANCISCO","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221980","PAMPANGA RIVER","RIVER","TEJANO, SHIRLEY","MAG.NET.O INTERNET CAFÉ","COMMERCIAL","OPERATIONAL","GENERAL MERCHANDISE","YES","","","","POBLACION","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221981","PAMPANGA RIVER","RIVER","MESINA, LUIS","LUIS F. MESINA RICE RETAILER","COMMERCIAL","OPERATIONAL","RICE STORE","YES","","","","PUBLIC MARKET","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","","","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221982","PAMPANGA RIVER","RIVER","MESINA, MALYN","MALYN'S GENERAL MERCHANDISE","COMMERCIAL","OPERATIONAL","GENERAL MERCHANDISE","YES","","","","PUBLIC MARKET","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","","","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221983","PAMPANGA RIVER","RIVER","BERNARDINO, LLYOD","LORRINE PRINTING","COMMERCIAL","OPERATIONAL","PRINTING SERVICES","YES","","","","STA. BARBARA","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221984","PAMPANGA RIVER","RIVER","ITALIA, RAQUELLIZA","RAQUELLIZA TRADING","COMMERCIAL","OPERATIONAL","TRANSLOADING/HAULING","YES","","","","SAN FRANCISCO","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221985","PAMPANGA RIVER","RIVER","TOLEDO, LOLITA","TOLEDO MUSICAL ARTS AND SERVICES","COMMERCIAL","OPERATIONAL","MUSICAL INSTRUMENTS","YES","","","","POBLACION","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221986","PAMPANGA RIVER","RIVER","VILLEZA, DAVID","G.V. STORE","COMMERCIAL","OPERATIONAL","GENERAL MERCHANDISE","YES","","","","PAPAYA","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221987","PAMPANGA RIVER","RIVER","VILLAFLOR, NORLITO","NORLY'S INVITATION CARDS AND PRINTING","COMMERCIAL","OPERATIONAL","PRINTING SERVICES","YES","","","","PUBLIC MARKET","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","","","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221988","PAMPANGA RIVER","RIVER","VILLAFLOR, NORLITO","NORLITO J. VILLAFLOR RICE RETAILER","COMMERCIAL","OPERATIONAL","RICE STORE","YES","","","","PUBLIC MARKET","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","","","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221989","PAMPANGA RIVER","RIVER","PARUMOG, MERNILO","MERNILO F. PARUMOG POULTRY AND AGRI SUPPLY","COMMERCIAL","OPERATIONAL","AGRICULTURE AND FARM SUPPLY","YES","","","","POBLACION","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221990","PAMPANGA RIVER","RIVER","FAUSTINO, ANGELITO","A.B. FAUSTINO AGRI POUTRY SUPPLY","COMMERCIAL","OPERATIONAL","AGRICULTURE AND FARM SUPPLY","YES","","","","POBLACION","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221991","PAMPANGA RIVER","RIVER","FAUSTINO, ANGELITO","A.B. FAUSTINO TIRE SUPPLY","COMMERCIAL","OPERATIONAL","VEHICLE AND VEHICLE PARTS","YES","","","","POBLACION","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221992","PAMPANGA RIVER","RIVER","SANTIAGO, LORENA","LORIE'S GOWN AND CURTAIN","COMMERCIAL","OPERATIONAL","DRESS SHOP / TAILORONG","YES","","","","PUBLIC MARKET","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","","","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221993","PAMPANGA RIVER","RIVER","DELA CRUZ, MILAGROS","MILAGROS N. DELA CRUZ SARI-SARI STORE","COMMERCIAL","OPERATIONAL","GENERAL MERCHANDISE","YES","","","","PUBLIC MARKET","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","","","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221994","PAMPANGA RIVER","RIVER","LUMIBAO, ANTONIO","TONY-NITA SARI-SARI STORE","COMMERCIAL","OPERATIONAL","GENERAL MERCHANDISE","YES","","","","PAPAYA","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221995","PAMPANGA RIVER","RIVER","BALAGTAS, REDENTOR","R.P. BALAGTAS PALAY TRADING","COMMERCIAL","OPERATIONAL","PALAY TRADING","YES","","","","PAPAYA","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221996","PAMPANGA RIVER","RIVER","VILLAR, IRENEO JR.","VILLKAN ENTERPRISES","COMMERCIAL","OPERATIONAL","REPAIR SERVICES","YES","","","","PAPAYA","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221997","PAMPANGA RIVER","RIVER","LUMIBAO, EMAR","E.S.L. PALAY TRADING","COMMERCIAL","OPERATIONAL","PALAY TRADING","YES","","","","PAPAYA","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221998","PAMPANGA RIVER","RIVER","LEJANO, CRISTINA","TYNNE'S GIGGLES BOUTIQUE","COMMERCIAL","OPERATIONAL","DRY GOODS/APPAREL ACCESSORIES","YES","","","","POBLACION","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"221999","PAMPANGA RIVER","RIVER","BANQUIL, MARIQUEL","RPB TICKETING SERVICES","COMMERCIAL","OPERATIONAL","SERVICES","YES","","","","POBLACION","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222000","PAMPANGA RIVER","RIVER","FAUSTINO, MA. VICTORIA","MVI FAUSTINO TRADING","COMMERCIAL","OPERATIONAL","GENERAL MERCHANDISE","YES","","","","TIKIW","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222001","PAMPANGA RIVER","RIVER","FAUSTINO, POTENCIANO","P.B. FAUSTINO LUMBER AND HARDWARE","COMMERCIAL","OPERATIONAL","CONSTRUCTION SUPPLY","YES","","","","TIKIW","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222002","PAMPANGA RIVER","RIVER","CONCEPCION, JULIA","GRACE AND FAVORS MARKETING","COMMERCIAL","OPERATIONAL","TRADING","YES","","","","PAPAYA","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222003","PAMPANGA RIVER","RIVER","PANGILINAN, ROGELIO","VANGEE'S FROZEN FOODS","COMMERCIAL","OPERATIONAL","FOOD AND BEVERAGES STORE","YES","","","","PUBLIC MARKET","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","","","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222004","PAMPANGA RIVER","RIVER","BITANGCOL, DONATA","RLB SARI-SARI STORE","COMMERCIAL","OPERATIONAL","GENERAL MERCHANDISE","YES","","","","SAN FRANCISCO","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222005","PAMPANGA RIVER","RIVER","GONZALES, JULIO JUAN","ERNAH'S CATERING SERVICES","COMMERCIAL","OPERATIONAL","CATERING SERVICES","YES","","","","SAN FRANCISCO","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222006","PAMPANGA RIVER","RIVER","MENDOAZA, PACIENCIA","PACIENCIA L. MENDOZA SARI-SARI STORE","COMMERCIAL","OPERATIONAL","GENERAL MERCHANDISE","YES","","","","PUBLIC MARKET","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","","","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222007","PAMPANGA RIVER","RIVER","JULIETA S. VELASCO AND MICHAEL E. CUNANAN","JULIETA S. VELASCO AND MICHAEL E. CUNANAN SARI-SAR","COMMERCIAL","OPERATIONAL","GENERAL MERCHANDISE","YES","","","","PUBLIC MARKET","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","","","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222008","PAMPANGA RIVER","RIVER","GALANG, AMELIA","AMELIA GALANG SARI-SARI STORE","COMMERCIAL","OPERATIONAL","GENERAL MERCHANDISE","YES","","","","SAN FRANCISCO","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222009","PAMPANGA RIVER","RIVER","SAMONTE, MYLENE","NEW GRACE MEMORIAL HOMES","COMMERCIAL","OPERATIONAL","FUNERAL SERVICES","YES","","","","POBLACION","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222010","PAMPANGA RIVER","RIVER","RAMOS, CORAZON","C..P. RAMOS AGRI & POULTRY SUPPLY","COMMERCIAL","OPERATIONAL","AGRICULTURE AND FARM SUPPLY","YES","","","","POBLACION","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222011","PAMPANGA RIVER","RIVER","VIESCA, REA CABRAL","REA'S VASE AND COLLECTIVE ITAMS","COMMERCIAL","OPERATIONAL","GENERAL MERCHANDISE","YES","","","","PUBLIC MARKET","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","","","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222012","PAMPANGA RIVER","RIVER","VILLEZA, FELIXBERTO","F.R. VILLEZA POULTRY & AGRI SUPPLY","COMMERCIAL","OPERATIONAL","AGRICULTURE AND FARM SUPPLY","YES","","","","PAPAYA","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222013","PAMPANGA RIVER","RIVER","MAGNO, MAY DOLORES","MDM KIDS SHOP","COMMERCIAL","OPERATIONAL","DRY GOODS/APPAREL ACCESSORIES","YES","","","","TIKIW","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222014","PAMPANGA RIVER","RIVER","HERNANDEZ, SUSAN","AHSM RICE MILL","COMMERCIAL","OPERATIONAL","RICE MILL","YES","","","","MAUGAT","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222015","PAMPANGA RIVER","RIVER","PALOMO, VICTOR CASTRO","V.C. PALOMO PALAY TRADING","COMMERCIAL","OPERATIONAL","RICE AND PALAY TRADING","YES","","","","PAPAYA","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222016","PAMPANGA RIVER","RIVER","JOSE, CARMELA","PRINT SPACE TARPAULIN PRINTING","COMMERCIAL","OPERATIONAL","PRINTING SERVICES","YES","","","","POBLACION","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222017","PAMPANGA RIVER","RIVER","FRANCISCO, NERIZA ERILLA","RENERY STORE","COMMERCIAL","OPERATIONAL","GENERAL MERCHANDISE","YES","","","","PUBLIC MARKET","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","","","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222018","PAMPANGA RIVER","RIVER","MAGNO, MAY DOLORES","MAY DOLORES M. MAGNO CLINIC","COMMERCIAL","OPERATIONAL","MEDICAL CLINIC","YES","","","","TIKIW","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222019","PAMPANGA RIVER","RIVER","HERNANDEZ, SUSAN","DABS RICE RETAILER","COMMERCIAL","OPERATIONAL","RICE STORE","YES","","","","PUBLIC MARKET","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","","","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222020","PAMPANGA RIVER","RIVER","DE GUZMAN, MARILOU","MARILOU DE GUZMAN FOOTWEAR","COMMERCIAL","OPERATIONAL","FOOTWEAR AND LEATHER GOODS STORE","YES","","","","PUBLIC MARKET","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","","","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222021","PAMPANGA RIVER","RIVER","MANARANG, ANGELITO","A.A. MANARANG MINI RICE STORE","COMMERCIAL","OPERATIONAL","RICE MILL","YES","","","","SAN FRANCISCO","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222022","PAMPANGA RIVER","RIVER","EDUARDO, IMELDA","SEAMLESS TRADING","COMMERCIAL","OPERATIONAL","CONSTRUCTION SUPPLY","YES","","","","TIKIW","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","YES","HYGENIC","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
"222023","PAMPANGA RIVER","RIVER","TOBIAS, GLORIA","G.S. TOBIAS GENERAL MERCHANDISE-SAN ANTONIO BRANCH","COMMERCIAL","OPERATIONAL","GENERAL MERCHANDISE","YES","","","","PUBLIC MARKET","SAN ANTONIO","NUEVA ECIJA","REGION III","","","NO","","","NO","NO","","2015-03-31","LGU.SANANTONIO.R3"
